#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
FSBL1654_hybracter.fasta,chromosome00001,584072,584677,+,fimA,1-606/606,===============,0/0,100,92.24,vfdb,NP_757241,(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,584742,585281,+,fimI,1-540/540,===============,0/0,100,98.33,vfdb,NP_757242,(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,585318,586043,+,fimC,1-726/726,===============,0/0,100,98.48,vfdb,NP_757243,(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,586110,588746,+,fimD,1-2637/2637,===============,0/0,100,98.26,vfdb,NP_757244,(fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,588753,589286,+,fimF,1-534/534,===============,0/0,100,97.38,vfdb,NP_757245,(fimF) FimF protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,589299,589802,+,fimG,1-504/504,===============,0/0,100,98.02,vfdb,NP_757247,(fimG) FimG protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,589813,590724,+,fimH,1-912/912,===============,0/0,100,97.15,vfdb,NP_757248,(fimH) FimH protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1015755,1019886,-,vat,1-4131/4131,========/======,01-Jan,100,99.69,vfdb,NP_752330,(vat) Haemoglobin protease [Tsh (VF0233)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1023503,1024256,-,yagV/ecpE,1-754/756,===============,0/0,99.74,98.41,vfdb,NP_286006,(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,1024180,1025823,-,yagW/ecpD,1-1644/1644,===============,0/0,100,99.15,vfdb,NP_286007,(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,1025813,1028338,-,yagX/ecpC,1-2526/2526,===============,0/0,100,97.66,vfdb,NP_286008,(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,1028364,1029032,-,yagY/ecpB,1-669/669,===============,0/0,100,98.06,vfdb,NP_286009,(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,1029089,1029676,-,yagZ/ecpA,1-588/588,===============,0/0,100,98.47,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,1029751,1030341,-,ykgK/ecpR,1-591/591,===============,0/0,100,99.32,vfdb,NP_286011,(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL1654_hybracter.fasta,chromosome00001,1039594,1043844,+,fdeC,1-4251/4251,===============,0/0,100,99.62,vfdb,YP_002390132,(fdeC) adhesin FdeC [FdeC (VF0506)] [Escherichia coli O45:K1:H7 str. S88],
FSBL1654_hybracter.fasta,chromosome00001,1313201,1313862,-,entD,1-662/771,=============..,0/0,85.86,92.75,vfdb,NP_752599,(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1313887,1316127,-,fepA,1-2241/2241,===============,0/0,100,98.88,vfdb,NP_752600,(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1316370,1317572,+,fes,1-1203/1203,===============,0/0,100,99.83,vfdb,NP_752602,(fes) enterobactin/ferric enterobactin esterase [enterobactin (IA019)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1317790,1321643,+,entF,1-3854/3882,===============,0/0,99.28,98.36,vfdb,NP_752604,(entF) enterobactin synthase multienzyme complex component ATP-dependent [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1323017,1323832,-,fepC,1-816/816,===============,0/0,100,99.39,vfdb,NP_752606,(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1323829,1324821,-,fepG,1-993/993,===============,0/0,100,99.8,vfdb,NP_752607,(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1324818,1325834,-,fepD,1-1017/1017,===============,0/0,100,99.51,vfdb,NP_752608,(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1325933,1327183,+,entS,1-1251/1251,===============,0/0,100,98.8,vfdb,NP_752609,(entS) enterobactin exporter iron-regulated [enterobactin (IA019)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1327187,1328143,-,fepB,1-957/957,===============,0/0,100,99.79,vfdb,NP_752610,(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1328320,1329507,+,entC,1-1188/1188,===============,0/0,100,99.66,vfdb,NP_752611,(entC) isochorismate synthase 1 [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1329517,1331127,+,entE,1-1611/1611,===============,0/0,100,99.13,vfdb,NP_752612,(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1331141,1331998,+,entB,1-858/858,===============,0/0,100,99.18,vfdb,NP_752613,(entB) isochorismatase [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1331998,1332744,+,entA,1-747/747,===============,0/0,100,98.39,vfdb,NP_752614,(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase [Enterobactin (VF0228)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,1690464,1691504,-,ompA,1-1041/1041,===============,0/0,100,99.52,vfdb,AAF37887,(ompA) outer membrane protein A [OmpA (VF0236)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL1654_hybracter.fasta,chromosome00001,2772283,2773587,-,ybtS,1-1305/1305,===============,0/0,100,99.77,vfdb,NP_405477,(ybtS) salicylate synthase Irp9 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2773615,2774895,-,ybtX,1-1281/1281,===============,0/0,100,99.61,vfdb,NP_405476,(ybtX) putative signal transducer [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2774888,2776690,-,ybtQ,1-1803/1803,===============,0/0,100,99.78,vfdb,NP_405475,(ybtQ) inner membrane ABC-transporter YbtQ [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2776677,2778479,-,ybtP,1-1803/1803,===============,0/0,100,99.61,vfdb,NP_405474,(ybtP) lipoprotein inner membrane ABC-transporter [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2778646,2779605,+,ybtA,1-960/960,===============,0/0,100,99.48,vfdb,NP_405473,(ybtA) transcriptional regulator YbtA [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2779796,2785900,+,irp2,1-6106/6108,========/======,01-Jan,99.95,98.87,vfdb,NP_405472,(irp2) yersiniabactin biosynthetic protein Irp2 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2785990,2795481,+,irp1,1-9492/9492,===============,0/0,100,99.33,vfdb,NP_405471,(irp1) yersiniabactin biosynthetic protein Irp1 [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2795478,2796578,+,ybtU,1-1101/1101,===============,0/0,100,99.73,vfdb,NP_405470,(ybtU) yersiniabactin biosynthetic protein YbtU [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2796575,2797378,+,ybtT,1-804/804,===============,0/0,100,99.5,vfdb,NP_405469,(ybtT) yersiniabactin biosynthetic protein YbtT [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2797382,2798959,+,ybtE,1-1578/1578,===============,0/0,100,99.81,vfdb,NP_405468,(ybtE) yersiniabactin siderophore biosynthetic protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,2799090,2801111,+,fyuA,1-2022/2022,===============,0/0,100,99.95,vfdb,NP_405467,(fyuA) pesticin/yersiniabactin receptor protein [Yersiniabactin (VF0136)] [Yersinia pestis CO92],
FSBL1654_hybracter.fasta,chromosome00001,3838346,3838897,-,papX,1-552/552,===============,0/0,100,97.46,vfdb,NP_755457,(papX) PapX protein regulates flagellum synthesis to repress motility [P fimbriae (CVF425)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,3840671,3840984,-,papB,1-315/315,========/======,01-Jan,99.68,98.41,vfdb,,(papB) regulatory protein PapB [P fimbriae (VF0220)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,3841389,3841622,+,papI,1-234/234,===============,0/0,100,94.87,vfdb,NP_755468,(papI) regulatory protein PapI [P fimbriae (VF0220)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,3850089,3851870,+,iucA,1-1782/1782,===============,0/0,100,99.83,vfdb,NP_709454,(iucA) aerobactin synthesis protein IucA [Aerobactin (VF0123)] [Shigella flexneri 2a str. 301],
FSBL1654_hybracter.fasta,chromosome00001,3851871,3852818,+,iucB,1-948/948,===============,0/0,100,99.79,vfdb,NP_709455,(iucB) aerobactin synthesis protein IucB [Aerobactin (VF0123)] [Shigella flexneri 2a str. 301],
FSBL1654_hybracter.fasta,chromosome00001,3852818,3854560,+,iucC,1-1743/1743,===============,0/0,100,98.16,vfdb,NP_755500,(iucC) aerobactin siderophore biosynthesis protein IucC [Aerobactin (VF0229)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,3854557,3855878,+,iucD,1-1323/1338,========/======,01-Jan,98.8,96.3,vfdb,NP_755499,(iucD) L-lysine 6-monooxygenase IucD [Aerobactin (VF0229)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,3859051,3862951,+,sat,1-3900/3900,========/======,01-Jan,100,99.49,vfdb,NP_755494,(sat) Aecreted auto transpoter toxin [Sat (VF0231)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,3877637,3879313,+,kpsD,1-1677/1677,===============,0/0,100,99.05,vfdb,AAA21682,(kpsD) KpsD [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL1654_hybracter.fasta,chromosome00001,3889975,3890634,-,kpsT,1-660/660,===============,0/0,100,100,vfdb,AAA24047,(kpsT) KpsT [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL1654_hybracter.fasta,chromosome00001,3890631,3891407,-,kpsM,1-777/777,===============,0/0,100,99.87,vfdb,AAA24046,(kpsM) KpsM [K1 capsule (VF0239)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL1654_hybracter.fasta,chromosome00001,3892467,3892888,-,gspM,1-422/423,===============,0/0,99.76,93.6,vfdb,YP_404609,(gspM) general secretion pathway protein M [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3893004,3893864,-,gspL,1-861/861,===============,0/0,100,94.77,vfdb,YP_404608,(gspL) general secretion pathway protein L [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3894179,3895156,-,gspK,1-978/978,===============,0/0,100,96.63,vfdb,YP_404607,(gspK) general secretion pathway protein K [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3895153,3895722,-,gspJ,1-570/570,===============,0/0,100,94.39,vfdb,YP_404606,(gspJ) general secretion pathway protein J [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3895755,3896126,-,gspI,1-372/372,===============,0/0,100,92.2,vfdb,YP_404605,(gspI) general secretion pathway protein I [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3896123,3896653,-,gspH,1-531/531,===============,0/0,100,94.73,vfdb,YP_404604,(gspH) general secretion pathway protein H [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3896690,3897145,-,gspG,1-456/456,===============,0/0,100,96.05,vfdb,YP_404603,(gspG) general secretion pathway protein G [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3897186,3898385,-,gspF,1-1200/1200,===============,0/0,100,94.17,vfdb,YP_404602,(gspF) general secretion pathway protein F [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3898385,3899878,-,gspE,1-1494/1494,===============,0/0,100,94.91,vfdb,YP_404601,(gspE) general secretion pathway protein E [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3899878,3901728,-,gspD,1-1836/1836,========/======,Jan-15,100,96.06,vfdb,YP_404600,(gspD) general secretion pathway protein D [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,3901968,3902798,-,gspC,1-831/831,===============,0/0,100,93.86,vfdb,YP_404599,(gspC) general secretion pathway protein C [T2SS (VF0333)] [Shigella dysenteriae Sd197],
FSBL1654_hybracter.fasta,chromosome00001,4451523,4452551,-,chuS,1-1029/1029,===============,0/0,100,99.51,vfdb,NP_756169,(chuS) heme oxygenase ChuS [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4452600,4454546,-,chuA,1-1947/1947,===============,0/0,100,99.69,vfdb,NP_756170,(chuA) Outer membrane heme/hemoglobin receptor ChuA [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4455188,4456180,+,chuT,1-993/993,===============,0/0,100,99.7,vfdb,NP_756175,(chuT) periplasmic heme-binding protein ChuT [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4456200,4457537,+,chuW,1-1338/1338,===============,0/0,100,99.1,vfdb,NP_756176,(chuW) Putative oxygen independent coproporphyrinogen III oxidase [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4457550,4458044,+,chuX,1-495/495,===============,0/0,100,100,vfdb,NP_756177,(chuX) putative heme-binding protein ChuX [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4458044,4458667,+,chuY,1-624/624,===============,0/0,100,98.4,vfdb,NP_756178,(chuY) ChuY [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4458716,4459708,+,chuU,1-993/993,===============,0/0,100,99.5,vfdb,NP_756179,(chuU) heme permease protein ChuU [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4459675,4460475,+,chuV,1-801/801,===============,0/0,100,99.75,vfdb,NP_756180,(chuV) ATP-binding hydrophilic protein ChuV [Chu (VF0227)] [Escherichia coli CFT073],
FSBL1654_hybracter.fasta,chromosome00001,4809745,4811173,-,aslA,1-1428/1428,========/======,01-Jan,100,98.46,vfdb,AAG10151,(aslA) putative arylsulfatase [AslA (VF0238)] [Escherichia coli O18:K1:H7 str. RS218],
FSBL1654_hybracter.fasta,plasmid00001,13781,14919,-,senB,2-1140/1140,===============,0/0,99.91,99.74,vfdb,YP_406304,(senB) enterotoxin [ShET2 (VF0258)] [Shigella flexneri 2a str. 301],
FSBL1925_hybracter.fasta,chromosome00001,4131814,4132397,-,yagZ/ecpA,1-584/588,===============,0/0,99.32,90.07,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2071_hybracter.fasta,chromosome00001,568962,569564,+,fimB,1-603/603,===============,0/0,100,97.84,vfdb,NP_757239,(fimB) Type 1 fimbriae Regulatory protein fimB [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,570042,570638,+,fimE,1-597/597,===============,0/0,100,98.83,vfdb,NP_757240,(fimE) Type 1 fimbriae Regulatory protein fimE [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,571062,571666,+,fimA,1-606/606,========/======,01-Jan,99.83,90.76,vfdb,NP_757241,(fimA) Type-1 fimbrial protein A chain precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,571731,572270,+,fimI,1-540/540,===============,0/0,100,98.52,vfdb,NP_757242,(fimI) Fimbrin-like protein fimI precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,572307,573032,+,fimC,1-726/726,===============,0/0,100,98.62,vfdb,NP_757243,(fimC) Chaperone protein fimC precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,573099,575735,+,fimD,1-2637/2637,===============,0/0,100,98.9,vfdb,NP_757244,(fimD) Outer membrane usher protein fimD precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,575742,576275,+,fimF,1-534/534,===============,0/0,100,99.06,vfdb,NP_757245,(fimF) FimF protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,576288,576791,+,fimG,1-504/504,===============,0/0,100,98.21,vfdb,NP_757247,(fimG) FimG protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,576802,577713,+,fimH,1-912/912,===============,0/0,100,97.59,vfdb,NP_757248,(fimH) FimH protein precursor [Type 1 fimbriae (VF0221)] [Escherichia coli CFT073],
FSBL2071_hybracter.fasta,chromosome00001,942072,942825,-,yagV/ecpE,1-754/756,===============,0/0,99.74,98.01,vfdb,NP_286006,(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2071_hybracter.fasta,chromosome00001,942749,944392,-,yagW/ecpD,1-1644/1644,===============,0/0,100,99.09,vfdb,NP_286007,(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2071_hybracter.fasta,chromosome00001,944382,946907,-,yagX/ecpC,1-2526/2526,===============,0/0,100,97.58,vfdb,NP_286008,(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2071_hybracter.fasta,chromosome00001,946933,947601,-,yagY/ecpB,1-669/669,===============,0/0,100,98.06,vfdb,NP_286009,(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2071_hybracter.fasta,chromosome00001,947658,948245,-,yagZ/ecpA,1-588/588,===============,0/0,100,98.3,vfdb,NP_286010,(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
FSBL2071_hybracter.fasta,chromosome00001,948320,948910,-,ykgK/ecpR,1-591/591,===============,0/0,100,99.49,vfdb,NP_286011,(ykgK/ecpR) regulator protein EcpR [ECP (VF0404)] [Escherichia coli O157:H7 str. EDL933],
